product_id,title,description,category,brand,price,rating,num_reviews,specifications,major_category
25,Crompton Laundry 7939,Reliable laundry offering great value for money.,Home>Laundry,Crompton,482245,3.6,1388,{},Home
26,IKEA Kitchen Appliances 7596,Advanced kitchen appliances with cutting-edge technology and modern design.,Home>Kitchen Appliances,IKEA,2536,3.8,1148,{},Home
27,Tommy Hilfiger Shirt,Advanced apparel with cutting-edge technology and modern design.,Fashion>Apparel,Tommy Hilfiger,914,4.5,1157,"{""type"": ""Dress"", ""material"": ""Polyester"", ""fit"": ""Regular"", ""color"": ""Red""}",Fashion
28,OnePlus Redmi 14,Reliable mobiles offering great value for money.,Electronics>Mobiles,OnePlus,84638,3.9,1476,"{""display"": ""6.5-inch AMOLED"", ""processor"": ""Dimensity 7050"", ""ram"": ""4GB"", ""storage"": ""128GB"", ""camera"": ""50MP Triple"", ""battery"": ""4799mAh""}",Electronics
29,Daikin Lighting 3536,Stylish and durable lighting perfect for everyday use.,Home>Lighting,Daikin,53534,5.0,1236,{},Home
30,IKEA Lighting 6138,High-quality lighting with premium features and excellent performance.,Home>Lighting,IKEA,4405,4.3,1796,{},Home
31,IKEA Furniture 9320,High-quality furniture with premium features and excellent performance.,Home>Furniture,IKEA,7245,4.4,1432,{},Home
32,Apple Audio 5033,Premium audio designed for comfort and style.,Electronics>Audio,Apple,1171,4.1,1245,{},Electronics
33,Crompton Lighting 5272,Stylish and durable lighting perfect for everyday use.,Home>Lighting,Crompton,56285,3.9,318,{},Home
34,Bajaj Storage 8491,Advanced storage with cutting-edge technology and modern design.,Home>Storage,Bajaj,576,4.2,1203,{},Home
35,Motorola Nord 12,Stylish and durable mobiles perfect for everyday use.,Electronics>Mobiles,Motorola,94329,3.5,1723,"{""display"": ""6.5-inch AMOLED"", ""processor"": ""A17 Bionic"", ""ram"": ""8GB"", ""storage"": ""256GB"", ""camera"": ""48MP Quad"", ""battery"": ""5707mAh""}",Electronics
36,Godrej Interio Cooling 3200,Advanced cooling with cutting-edge technology and modern design.,Home>Cooling,Godrej Interio,1376,4.6,368,{},Home
37,Fastrack Accessories 4450,Advanced accessories with cutting-edge technology and modern design.,Fashion>Accessories,Fastrack,13650,4.3,564,{},Fashion
38,Vivo Realme 8,High-quality mobiles with premium features and excellent performance.,Electronics>Mobiles,Vivo,1416,3.6,1858,"{""display"": ""6.5-inch AMOLED"", ""processor"": ""Helio G88"", ""ram"": ""6GB"", ""storage"": ""512GB"", ""camera"": ""64MP Dual"", ""battery"": ""4875mAh""}",Electronics
39,Whirlpool Furniture 1590,Advanced furniture with cutting-edge technology and modern design.,Home>Furniture,Whirlpool,19083,3.7,681,{},Home
40,Levi's Ultraboost,Stylish and durable footwear perfect for everyday use.,Fashion>Footwear,Levi's,12757,4.8,1688,"{""type"": ""Sneakers"", ""material"": ""Synthetic"", ""color"": ""Various"", ""style"": ""Modern""}",Fashion
41,Samsung Audio 3938,Advanced audio with cutting-edge technology and modern design.,Electronics>Audio,Samsung,451224,4.8,1710,{},Electronics
42,"Xiaomi 75"" LED",Reliable televisions offering great value for money.,Electronics>Televisions,Xiaomi,4355,3.8,1722,{},Electronics
43,H&M Accessories 4728,Stylish and durable accessories perfect for everyday use.,Fashion>Accessories,H&M,2082,4.1,620,{},Fashion
44,Realme Gaming 6753,Premium gaming designed for comfort and style.,Electronics>Gaming,Realme,456263,5.0,1148,{},Electronics
45,Adidas RS-X,Stylish and durable footwear perfect for everyday use.,Fashion>Footwear,Adidas,66114,4.2,1097,"{""type"": ""Casual Shoes"", ""material"": ""Mesh"", ""color"": ""Black"", ""style"": ""Modern""}",Fashion
46,LG Audio 4114,Advanced audio with cutting-edge technology and modern design.,Electronics>Audio,LG,4072,3.5,1945,{},Electronics
47,Philips Storage 6967,Reliable storage offering great value for money.,Home>Storage,Philips,3204,4.4,1408,{},Home
48,Realme Cameras 9308,Advanced cameras with cutting-edge technology and modern design.,Electronics>Cameras,Realme,271013,4.1,655,{},Electronics
49,Philips Furniture 7888,Reliable furniture offering great value for money.,Home>Furniture,Philips,23648,4.0,1172,{},Home
50,"Realme 43"" 4K",Premium televisions designed for comfort and style.,Electronics>Televisions,Realme,85946,4.2,1433,{},Electronics
51,Nokia Wearables 3780,High-quality wearables with premium features and excellent performance.,Electronics>Wearables,Nokia,92561,4.5,1318,{},Electronics
52,Zara Smash,Advanced footwear with cutting-edge technology and modern design.,Fashion>Footwear,Zara,2505,5.0,1301,"{""type"": ""Running Shoes"", ""material"": ""Leather"", ""color"": ""White"", ""style"": ""Casual""}",Fashion
53,Vivo Audio 4185,Reliable audio offering great value for money.,Electronics>Audio,Vivo,309533,3.9,1393,{},Electronics
54,Godrej Interio Kitchen Appliances 7965,Stylish and durable kitchen appliances perfect for everyday use.,Home>Kitchen Appliances,Godrej Interio,21972,4.2,1191,{},Home
55,Apple Gaming 8478,Stylish and durable gaming perfect for everyday use.,Electronics>Gaming,Apple,450002,4.3,1194,{},Electronics
56,Daikin Cooling 9270,Reliable cooling offering great value for money.,Home>Cooling,Daikin,183444,4.6,1022,{},Home
57,Zara Accessories 5543,Premium accessories designed for comfort and style.,Fashion>Accessories,Zara,428596,3.9,950,{},Fashion
58,Realme Cameras 4841,Advanced cameras with cutting-edge technology and modern design.,Electronics>Cameras,Realme,66904,4.8,215,{},Electronics
59,OnePlus ZenBook Air,Stylish and durable laptops perfect for everyday use.,Electronics>Laptops,OnePlus,132645,3.8,910,"{""display"": ""13.3-inch QHD"", ""processor"": ""AMD Ryzen 5"", ""ram"": ""16GB"", ""storage"": ""1TB SSD"", ""graphics"": ""AMD Radeon""}",Electronics
60,Nike Bags 7232,Reliable bags offering great value for money.,Fashion>Bags,Nike,3381,3.9,848,{},Fashion
61,Ray-Ban Bags 4613,Reliable bags offering great value for money.,Fashion>Bags,Ray-Ban,13943,4.2,109,{},Fashion
62,Tommy Hilfiger Accessories 3704,Reliable accessories offering great value for money.,Fashion>Accessories,Tommy Hilfiger,22502,3.5,856,{},Fashion
63,IKEA Lighting 2375,Reliable lighting offering great value for money.,Home>Lighting,IKEA,20128,3.8,582,{},Home
64,Zara Accessories 8449,Advanced accessories with cutting-edge technology and modern design.,Fashion>Accessories,Zara,74692,3.9,1998,{},Fashion
65,Adidas Accessories 8705,High-quality accessories with premium features and excellent performance.,Fashion>Accessories,Adidas,3366,3.8,190,{},Fashion
66,IKEA Kitchen Appliances 5051,Stylish and durable kitchen appliances perfect for everyday use.,Home>Kitchen Appliances,IKEA,1748,3.9,1019,{},Home
67,Bosch Kitchen Appliances 4571,Reliable kitchen appliances offering great value for money.,Home>Kitchen Appliances,Bosch,73351,3.8,1293,{},Home
68,Godrej Interio Storage 3683,Advanced storage with cutting-edge technology and modern design.,Home>Storage,Godrej Interio,710,4.9,1229,{},Home
69,Blue Star Laundry 4249,High-quality laundry with premium features and excellent performance.,Home>Laundry,Blue Star,8339,4.5,667,{},Home
70,Godrej Interio Lighting 1672,Advanced lighting with cutting-edge technology and modern design.,Home>Lighting,Godrej Interio,446827,4.1,1086,{},Home
71,IKEA Cooling 7882,Reliable cooling offering great value for money.,Home>Cooling,IKEA,4051,4.9,1351,{},Home
72,Puma Jewelry 8135,Stylish and durable jewelry perfect for everyday use.,Fashion>Jewelry,Puma,95539,4.7,1002,{},Fashion
73,Fastrack Jewelry 5397,Advanced jewelry with cutting-edge technology and modern design.,Fashion>Jewelry,Fastrack,7839,3.9,973,{},Fashion
74,Nokia Gaming 7209,Advanced gaming with cutting-edge technology and modern design.,Electronics>Gaming,Nokia,4549,4.8,422,{},Electronics
75,Levi's Jeans,Advanced apparel with cutting-edge technology and modern design.,Fashion>Apparel,Levi's,4732,4.9,225,"{""type"": ""Jeans"", ""material"": ""Wool"", ""fit"": ""Loose"", ""color"": ""Green""}",Fashion
76,Vivo Cameras 9004,Premium cameras designed for comfort and style.,Electronics>Cameras,Vivo,20600,4.5,1055,{},Electronics
77,Adidas RS-X,Stylish and durable footwear perfect for everyday use.,Fashion>Footwear,Adidas,390179,4.3,921,"{""type"": ""Formal Shoes"", ""material"": ""Leather"", ""color"": ""Blue"", ""style"": ""Retro""}",Fashion
78,Crompton Lighting 6764,Reliable lighting offering great value for money.,Home>Lighting,Crompton,65189,3.9,297,{},Home
79,Crompton Furniture 2958,Premium furniture designed for comfort and style.,Home>Furniture,Crompton,11276,3.8,1041,{},Home
80,Fastrack Jewelry 9595,Premium jewelry designed for comfort and style.,Fashion>Jewelry,Fastrack,38176,4.7,656,{},Fashion
81,"Xiaomi 50"" LED",Premium televisions designed for comfort and style.,Electronics>Televisions,Xiaomi,13988,3.6,161,{},Electronics
82,Prestige Cooling 9042,High-quality cooling with premium features and excellent performance.,Home>Cooling,Prestige,2829,4.2,952,{},Home
83,Nike Jeans,Reliable apparel offering great value for money.,Fashion>Apparel,Nike,939,3.7,1711,"{""type"": ""T-Shirt"", ""material"": ""Cotton"", ""fit"": ""Oversized"", ""color"": ""Red""}",Fashion
84,Godrej Interio Cooling 5066,High-quality cooling with premium features and excellent performance.,Home>Cooling,Godrej Interio,417885,4.4,1316,{},Home
85,Motorola Gaming 7232,Reliable gaming offering great value for money.,Electronics>Gaming,Motorola,255898,4.8,928,{},Electronics
86,Fastrack Bags 1986,Premium bags designed for comfort and style.,Fashion>Bags,Fastrack,2202,4.4,591,{},Fashion
87,Prestige Kitchen Appliances 4929,Stylish and durable kitchen appliances perfect for everyday use.,Home>Kitchen Appliances,Prestige,1782,3.5,972,{},Home
88,Daikin Lighting 5771,High-quality lighting with premium features and excellent performance.,Home>Lighting,Daikin,14440,4.6,1489,{},Home
89,Zara RS-X,Premium footwear designed for comfort and style.,Fashion>Footwear,Zara,13704,4.7,196,"{""type"": ""Running Shoes"", ""material"": ""Canvas"", ""color"": ""Black"", ""style"": ""Sporty""}",Fashion
90,Realme ThinkPad ,High-quality laptops with premium features and excellent performance.,Electronics>Laptops,Realme,329511,3.6,131,"{""display"": ""16-inch 4K"", ""processor"": ""Intel i9"", ""ram"": ""32GB"", ""storage"": ""512TB SSD"", ""graphics"": ""NVIDIA RTX 4070""}",Electronics
91,Levi's Jewelry 5102,High-quality jewelry with premium features and excellent performance.,Fashion>Jewelry,Levi's,2375,4.9,1762,{},Fashion
92,IKEA Lighting 5415,Premium lighting designed for comfort and style.,Home>Lighting,IKEA,1935,4.2,1384,{},Home
93,Puma Accessories 8141,Reliable accessories offering great value for money.,Fashion>Accessories,Puma,4350,4.0,732,{},Fashion
94,Adidas Jewelry 3634,Advanced jewelry with cutting-edge technology and modern design.,Fashion>Jewelry,Adidas,463684,4.2,1406,{},Fashion
95,Nike Bags 8451,High-quality bags with premium features and excellent performance.,Fashion>Bags,Nike,58082,4.0,1632,{},Fashion
96,Nike Bags 9889,Reliable bags offering great value for money.,Fashion>Bags,Nike,128418,3.8,790,{},Fashion
97,Daikin Laundry 1845,Stylish and durable laundry perfect for everyday use.,Home>Laundry,Daikin,96987,3.7,639,{},Home
98,Calvin Klein Jewelry 2989,High-quality jewelry with premium features and excellent performance.,Fashion>Jewelry,Calvin Klein,10189,4.0,78,{},Fashion
99,Godrej Interio Laundry 4681,High-quality laundry with premium features and excellent performance.,Home>Laundry,Godrej Interio,161586,4.5,365,{},Home
100,H&M Jewelry 9337,Advanced jewelry with cutting-edge technology and modern design.,Fashion>Jewelry,H&M,352968,5.0,549,{},Fashion
101,Puma Bags 7284,Stylish and durable bags perfect for everyday use.,Fashion>Bags,Puma,7287,3.9,1667,{},Fashion
102,Ray-Ban Accessories 5377,High-quality accessories with premium features and excellent performance.,Fashion>Accessories,Ray-Ban,64132,4.8,1237,{},Fashion
103,Prestige Laundry 8316,Premium laundry designed for comfort and style.,Home>Laundry,Prestige,280944,4.0,1612,{},Home
104,Daikin Laundry 6272,Stylish and durable laundry perfect for everyday use.,Home>Laundry,Daikin,23736,4.1,1803,{},Home
105,Levi's Smash,Reliable footwear offering great value for money.,Fashion>Footwear,Levi's,1534,4.3,1258,"{""type"": ""Formal Shoes"", ""material"": ""Canvas"", ""color"": ""White"", ""style"": ""Modern""}",Fashion
106,Calvin Klein Air Max,Premium footwear designed for comfort and style.,Fashion>Footwear,Calvin Klein,7451,4.2,592,"{""type"": ""Formal Shoes"", ""material"": ""Mesh"", ""color"": ""White"", ""style"": ""Modern""}",Fashion
107,Tommy Hilfiger Bags 2315,Advanced bags with cutting-edge technology and modern design.,Fashion>Bags,Tommy Hilfiger,266021,4.4,1867,{},Fashion
108,Nike Bags 2121,Stylish and durable bags perfect for everyday use.,Fashion>Bags,Nike,54817,4.6,938,{},Fashion
109,Apple Gaming 8269,Stylish and durable gaming perfect for everyday use.,Electronics>Gaming,Apple,28794,3.6,1680,{},Electronics
110,"Oppo 50"" 4K",Stylish and durable televisions perfect for everyday use.,Electronics>Televisions,Oppo,22405,4.1,1446,{},Electronics
111,Xiaomi XPS ,Premium laptops designed for comfort and style.,Electronics>Laptops,Xiaomi,85236,3.9,69,"{""display"": ""14-inch QHD"", ""processor"": ""AMD Ryzen 7"", ""ram"": ""8GB"", ""storage"": ""256TB SSD"", ""graphics"": ""AMD Radeon""}",Electronics
112,Ray-Ban Accessories 3588,High-quality accessories with premium features and excellent performance.,Fashion>Accessories,Ray-Ban,281175,5.0,662,{},Fashion
113,Bajaj Laundry 8484,Advanced laundry with cutting-edge technology and modern design.,Home>Laundry,Bajaj,17605,4.8,268,{},Home
114,LG Audio 6881,Premium audio designed for comfort and style.,Electronics>Audio,LG,63696,3.5,1749,{},Electronics
115,Bajaj Laundry 1132,Premium laundry designed for comfort and style.,Home>Laundry,Bajaj,4569,4.7,1899,{},Home
116,Fastrack Jeans,Stylish and durable apparel perfect for everyday use.,Fashion>Apparel,Fastrack,822,4.0,952,"{""type"": ""Shirt"", ""material"": ""Wool"", ""fit"": ""Loose"", ""color"": ""White""}",Fashion
117,Oppo Wearables 3153,High-quality wearables with premium features and excellent performance.,Electronics>Wearables,Oppo,67823,4.6,409,{},Electronics
118,Motorola MacBook Gaming,Stylish and durable laptops perfect for everyday use.,Electronics>Laptops,Motorola,139478,3.7,512,"{""display"": ""15.6-inch QHD"", ""processor"": ""Intel i9"", ""ram"": ""32GB"", ""storage"": ""512TB SSD"", ""graphics"": ""Integrated""}",Electronics
119,Blue Star Storage 6992,High-quality storage with premium features and excellent performance.,Home>Storage,Blue Star,107297,3.9,303,{},Home
120,H&M Accessories 7242,Advanced accessories with cutting-edge technology and modern design.,Fashion>Accessories,H&M,2415,4.2,1318,{},Fashion
121,Bosch Cooling 4626,High-quality cooling with premium features and excellent performance.,Home>Cooling,Bosch,467566,4.0,886,{},Home
122,Samsung Inspiron Gaming,Reliable laptops offering great value for money.,Electronics>Laptops,Samsung,294516,4.5,1571,"{""display"": ""13.3-inch FHD"", ""processor"": ""Intel i7"", ""ram"": ""32GB"", ""storage"": ""256TB SSD"", ""graphics"": ""AMD Radeon""}",Electronics
123,Blue Star Lighting 3531,Reliable lighting offering great value for money.,Home>Lighting,Blue Star,4508,4.4,1973,{},Home
124,Levi's Ultraboost,Reliable footwear offering great value for money.,Fashion>Footwear,Levi's,96364,4.9,1370,"{""type"": ""Formal Shoes"", ""material"": ""Leather"", ""color"": ""Blue"", ""style"": ""Casual""}",Fashion
125,Tommy Hilfiger RS-X,Stylish and durable footwear perfect for everyday use.,Fashion>Footwear,Tommy Hilfiger,914,4.7,548,"{""type"": ""Sneakers"", ""material"": ""Canvas"", ""color"": ""Black"", ""style"": ""Sporty""}",Fashion
126,LG Gaming 4362,High-quality gaming with premium features and excellent performance.,Electronics>Gaming,LG,24214,3.8,1831,{},Electronics
127,"Xiaomi 65"" LED",Advanced televisions with cutting-edge technology and modern design.,Electronics>Televisions,Xiaomi,9259,4.3,1685,{},Electronics
128,Samsung Redmi 8,Advanced mobiles with cutting-edge technology and modern design.,Electronics>Mobiles,Samsung,375820,3.7,180,"{""display"": ""6.1-inch OLED"", ""processor"": ""Helio G88"", ""ram"": ""4GB"", ""storage"": ""128GB"", ""camera"": ""50MP Triple"", ""battery"": ""4259mAh""}",Electronics
129,Levi's Watches 9408,Premium watches designed for comfort and style.,Fashion>Watches,Levi's,4202,4.3,1986,{},Fashion
130,Whirlpool Kitchen Appliances 5941,Reliable kitchen appliances offering great value for money.,Home>Kitchen Appliances,Whirlpool,998,5.0,1785,{},Home
131,Adidas Watches 9032,Reliable watches offering great value for money.,Fashion>Watches,Adidas,1161,4.0,353,{},Fashion
132,Realme MacBook ,Premium laptops designed for comfort and style.,Electronics>Laptops,Realme,2261,4.1,1868,"{""display"": ""15.6-inch QHD"", ""processor"": ""AMD Ryzen 7"", ""ram"": ""32GB"", ""storage"": ""512TB SSD"", ""graphics"": ""Integrated""}",Electronics
133,Oppo Audio 8430,Reliable audio offering great value for money.,Electronics>Audio,Oppo,482527,3.6,924,{},Electronics
134,H&M Jewelry 7132,Stylish and durable jewelry perfect for everyday use.,Fashion>Jewelry,H&M,135197,3.6,224,{},Fashion
135,Apple Audio 7105,Stylish and durable audio perfect for everyday use.,Electronics>Audio,Apple,3200,4.5,891,{},Electronics
136,Tommy Hilfiger Jewelry 1842,Advanced jewelry with cutting-edge technology and modern design.,Fashion>Jewelry,Tommy Hilfiger,71090,3.7,1089,{},Fashion
137,Nokia Victus Pro,Advanced laptops with cutting-edge technology and modern design.,Electronics>Laptops,Nokia,2690,3.5,609,"{""display"": ""15.6-inch FHD"", ""processor"": ""Intel i9"", ""ram"": ""32GB"", ""storage"": ""256TB SSD"", ""graphics"": ""AMD Radeon""}",Electronics
138,Crompton Cooling 6751,High-quality cooling with premium features and excellent performance.,Home>Cooling,Crompton,9694,4.3,870,{},Home
139,Samsung XPS Air,Reliable laptops offering great value for money.,Electronics>Laptops,Samsung,99395,4.4,1859,"{""display"": ""16-inch QHD"", ""processor"": ""Intel i9"", ""ram"": ""8GB"", ""storage"": ""512TB SSD"", ""graphics"": ""NVIDIA RTX 4070""}",Electronics
140,Xiaomi Inspiron Pro,Advanced laptops with cutting-edge technology and modern design.,Electronics>Laptops,Xiaomi,243218,3.8,1099,"{""display"": ""16-inch 4K"", ""processor"": ""AMD Ryzen 5"", ""ram"": ""16GB"", ""storage"": ""1TB SSD"", ""graphics"": ""AMD Radeon""}",Electronics
141,"Vivo 32"" QLED",Premium televisions designed for comfort and style.,Electronics>Televisions,Vivo,376265,4.5,143,{},Electronics
142,LG Audio 1897,High-quality audio with premium features and excellent performance.,Electronics>Audio,LG,14876,4.9,1621,{},Electronics
143,Realme Gaming 5742,Advanced gaming with cutting-edge technology and modern design.,Electronics>Gaming,Realme,563,4.2,931,{},Electronics
144,Vivo Victus Gaming,High-quality laptops with premium features and excellent performance.,Electronics>Laptops,Vivo,3064,4.4,1224,"{""display"": ""16-inch 4K"", ""processor"": ""Intel i5"", ""ram"": ""16GB"", ""storage"": ""256TB SSD"", ""graphics"": ""AMD Radeon""}",Electronics
145,Tommy Hilfiger Jewelry 5743,High-quality jewelry with premium features and excellent performance.,Fashion>Jewelry,Tommy Hilfiger,110934,4.9,401,{},Fashion
146,Crompton Laundry 2443,Reliable laundry offering great value for money.,Home>Laundry,Crompton,2493,4.2,870,{},Home
147,Blue Star Kitchen Appliances 6083,Advanced kitchen appliances with cutting-edge technology and modern design.,Home>Kitchen Appliances,Blue Star,15913,4.7,206,{},Home
148,Godrej Interio Storage 9693,Premium storage designed for comfort and style.,Home>Storage,Godrej Interio,16448,4.0,1727,{},Home
149,Philips Furniture 2684,Stylish and durable furniture perfect for everyday use.,Home>Furniture,Philips,50856,3.8,363,{},Home
150,Prestige Kitchen Appliances 9095,Reliable kitchen appliances offering great value for money.,Home>Kitchen Appliances,Prestige,457110,4.9,1206,{},Home
151,Bosch Storage 6295,Advanced storage with cutting-edge technology and modern design.,Home>Storage,Bosch,19410,3.6,955,{},Home
152,Bajaj Cooling 1920,Advanced cooling with cutting-edge technology and modern design.,Home>Cooling,Bajaj,3042,4.2,127,{},Home
153,"Realme 32"" LED",Premium televisions designed for comfort and style.,Electronics>Televisions,Realme,342594,4.4,1671,{},Electronics
154,Daikin Kitchen Appliances 4084,Advanced kitchen appliances with cutting-edge technology and modern design.,Home>Kitchen Appliances,Daikin,362860,3.7,176,{},Home
155,Levi's Smash,High-quality footwear with premium features and excellent performance.,Fashion>Footwear,Levi's,374762,4.3,375,"{""type"": ""Running Shoes"", ""material"": ""Mesh"", ""color"": ""White"", ""style"": ""Modern""}",Fashion
156,H&M Accessories 7347,Reliable accessories offering great value for money.,Fashion>Accessories,H&M,31863,4.7,1375,{},Fashion
157,Levi's Air Max,Premium footwear designed for comfort and style.,Fashion>Footwear,Levi's,35682,4.4,339,"{""type"": ""Formal Shoes"", ""material"": ""Synthetic"", ""color"": ""Blue"", ""style"": ""Sporty""}",Fashion
158,Tommy Hilfiger Accessories 3112,Premium accessories designed for comfort and style.,Fashion>Accessories,Tommy Hilfiger,3036,4.3,1367,{},Fashion
159,Ray-Ban T-Shirt,Reliable apparel offering great value for money.,Fashion>Apparel,Ray-Ban,48627,4.9,749,"{""type"": ""Jacket"", ""material"": ""Denim"", ""fit"": ""Regular"", ""color"": ""Blue""}",Fashion
160,Zara Shirt,Stylish and durable apparel perfect for everyday use.,Fashion>Apparel,Zara,3258,4.8,1315,"{""type"": ""T-Shirt"", ""material"": ""Denim"", ""fit"": ""Regular"", ""color"": ""Green""}",Fashion
161,Vivo Wearables 3527,Stylish and durable wearables perfect for everyday use.,Electronics>Wearables,Vivo,10424,4.6,139,{},Electronics
162,Zara Accessories 8277,Premium accessories designed for comfort and style.,Fashion>Accessories,Zara,83841,3.9,539,{},Fashion
163,Zara Watches 7026,Premium watches designed for comfort and style.,Fashion>Watches,Zara,342053,4.7,1643,{},Fashion
164,Ray-Ban Bags 7859,Stylish and durable bags perfect for everyday use.,Fashion>Bags,Ray-Ban,24813,3.7,562,{},Fashion
165,Nokia Cameras 7081,Premium cameras designed for comfort and style.,Electronics>Cameras,Nokia,4726,4.8,633,{},Electronics
166,Xiaomi Gaming 5469,Reliable gaming offering great value for money.,Electronics>Gaming,Xiaomi,19335,3.6,1914,{},Electronics
167,Nokia Gaming 6727,High-quality gaming with premium features and excellent performance.,Electronics>Gaming,Nokia,127921,4.1,815,{},Electronics
168,Apple Audio 7142,Stylish and durable audio perfect for everyday use.,Electronics>Audio,Apple,3110,4.9,1768,{},Electronics
169,Crompton Storage 3392,Stylish and durable storage perfect for everyday use.,Home>Storage,Crompton,2850,4.9,1017,{},Home
170,Daikin Furniture 8349,Premium furniture designed for comfort and style.,Home>Furniture,Daikin,1149,3.5,491,{},Home
171,LG Wearables 9647,Reliable wearables offering great value for money.,Electronics>Wearables,LG,2860,3.9,299,{},Electronics
172,Vivo Swift Pro,High-quality laptops with premium features and excellent performance.,Electronics>Laptops,Vivo,14544,4.1,1309,"{""display"": ""16-inch 4K"", ""processor"": ""AMD Ryzen 7"", ""ram"": ""8GB"", ""storage"": ""1TB SSD"", ""graphics"": ""NVIDIA RTX 3050""}",Electronics
173,Fastrack Dress,Stylish and durable apparel perfect for everyday use.,Fashion>Apparel,Fastrack,3698,4.8,139,"{""type"": ""T-Shirt"", ""material"": ""Wool"", ""fit"": ""Loose"", ""color"": ""Black""}",Fashion
174,Crompton Laundry 5155,High-quality laundry with premium features and excellent performance.,Home>Laundry,Crompton,33855,4.0,1551,{},Home
175,Godrej Interio Storage 6447,Stylish and durable storage perfect for everyday use.,Home>Storage,Godrej Interio,3386,4.3,1716,{},Home
176,Daikin Furniture 8840,Stylish and durable furniture perfect for everyday use.,Home>Furniture,Daikin,7067,4.6,1982,{},Home
177,H&M Ultraboost,High-quality footwear with premium features and excellent performance.,Fashion>Footwear,H&M,384704,4.2,124,"{""type"": ""Running Shoes"", ""material"": ""Mesh"", ""color"": ""Blue"", ""style"": ""Retro""}",Fashion
178,Bajaj Furniture 6848,High-quality furniture with premium features and excellent performance.,Home>Furniture,Bajaj,60811,3.7,803,{},Home
179,Calvin Klein Watches 7334,Advanced watches with cutting-edge technology and modern design.,Fashion>Watches,Calvin Klein,21259,4.5,802,{},Fashion
180,Godrej Interio Cooling 7955,High-quality cooling with premium features and excellent performance.,Home>Cooling,Godrej Interio,415859,5.0,419,{},Home
181,Crompton Cooling 2680,High-quality cooling with premium features and excellent performance.,Home>Cooling,Crompton,63750,4.0,1284,{},Home
